trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
70,0,70,0,134.38141579995863,135.38110470003448,135.38110470003448,up,1,0.7412315999390557,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
71,0,71,0,136.14526699995622,137.14421699999366,137.16085810004734,down,1,0.47370600001886487,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
72,0,72,0,137.64348740002606,138.6430462000426,138.6430462000426,up,1,0.4796195999952033,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
73,0,73,0,139.14112659997772,140.1387319000205,140.1555949000176,down,1,0.42354259989224374,-5,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
74,0,74,0,140.58824419998564,141.58668039995246,141.6032242999645,up,1,0.4949670999776572,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
75,0,75,0,142.10254450002685,143.1006897999905,143.1174183000112,down,1,0.5165408999891952,2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
76,0,76,0,143.65003300004173,144.64844579994678,144.66513690003194,down,1,0.5569819000083953,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
77,0,77,0,145.23102129995823,146.22986710001715,146.24583879997954,up,0,0.6508233000058681,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
78,0,78,0,146.91158720001113,147.91051740001421,147.92696089996025,up,0,0.6720253999810666,-2,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
79,0,79,0,148.60895210003946,149.60747509996872,149.62421070004348,down,0,0.7464580000378191,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
80,0,80,0,150.37291300005745,151.37216579995584,151.3878653999418,down,1,0.6311667000409216,-3,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
81,0,81,0,152.02045950002503,153.01990610000212,153.01990610000212,down,0,0.562542200088501,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
82,0,82,0,153.6017170000123,154.59980069997255,154.61650650005322,up,1,0.6041703000664711,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
83,0,83,0,155.23214670002926,156.23096039996017,156.2473253000062,up,1,0.6983786000637338,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
84,0,84,0,156.94638670003042,157.94467080000322,157.96164570003748,up,1,0.5020297999726608,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
85,0,85,0,158.47711029998027,159.47560400003567,159.49232730001677,down,1,0.48718720010947436,4,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
86,0,86,0,159.99158529995475,160.9901657999726,161.00646019994747,up,1,0.7694645000156015,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
87,0,87,0,161.78903700003866,162.78699349996168,162.8037284000311,up,1,0.5665990000125021,0,744287,001,2022-09-14_10h56.40.331,Orient_discrimination,2022.2.2,60.176039007943885,
